Model,Anomaly_Count,Clusters,Silhouette_Score
abod,0,2,0.20965871278449805
cluster,50,2,0.2257952521733501
cof,50,2,0.22484171489043364
iforest,50,3,0.21280791308149696
histogram,50,3,0.21497703669935703
knn,46,2,0.22463749719618833
lof,46,2,0.2247540342480165
svm,50,3,0.20875865848423425
pca,50,3,0.20920652767603554
mcd,50,2,0.2249679414260325
